Model,Averaging,Accuracy,Precision,Recall,F1-score,ConfM-00,ConfM-01,ConfM-10,ConfM-11
ann_conv,3,0.6680562468889994,0.6604316150884778,0.6839799749687109,0.6719991471103677,2636.0,1405.0,1262.5,2732.5
ann_lstm,3,0.6472747635639622,0.642176637533586,0.662828535669587,0.6504629458237894,2553.5,1487.5,1347.0,2648.0
snn_conv,3,0.6678124999999999,0.6593021182840706,0.6806011619095731,0.6697503682639212,2648.0,1393.0,1264.5,2694.5
snn_lmu,3,0.582875,0.6133991108122085,0.4251073503409952,0.5019954675735824,2980.0,1061.0,2276.0,1683.0
ann_conv,6,0.6550522648083623,0.6613654906524087,0.6276595744680851,0.6437993789223515,2756.5,1284.5,1487.5,2507.5
ann_lstm,6,0.6421727227476357,0.6337514274892422,0.664956195244055,0.6487169356732616,2504.0,1537.0,1338.5,2656.5
snn_conv,6,0.654875,0.659685730744443,0.6252841626673402,0.641732766639107,2763.5,1277.5,1483.5,2475.5
snn_lmu,6,0.5896874999999999,0.604391608058084,0.5041677191209901,0.5486321910554217,2721.5,1319.5,1963.0,1996.0
ann_conv,9,0.6540567446490791,0.6403054143251403,0.6948685857321653,0.6662730243711057,2480.0,1561.0,1219.0,2776.0
ann_lstm,9,0.6405550024888004,0.6228907886513988,0.7018773466833542,0.6600110549837912,2343.5,1697.5,1191.0,2804.0
snn_conv,9,0.6535,0.6371456817494441,0.6972720383935337,0.6656783503753558,2467.5,1573.5,1198.5,2760.5
snn_lmu,9,0.5905,0.5912290777194242,0.5601161909573125,0.5733845827244988,2506.5,1534.5,1741.5,2217.5
ann_conv,12,0.651879044300647,0.6466517822734477,0.662953692115144,0.6540291099324904,2590.0,1451.0,1346.5,2648.5
ann_lstm,12,0.6426704828272773,0.6269828920956648,0.6949937421777221,0.6591383819185428,2388.0,1653.0,1218.5,2776.5
snn_conv,12,0.6519375000000001,0.6451779410927101,0.6614043950492549,0.6524917738085332,2597.0,1444.0,1340.5,2618.5
snn_lmu,12,0.58875,0.5918975382181717,0.5455923212932559,0.5677473136369411,2550.0,1491.0,1799.0,2160.0
ann_conv,15,0.6497635639621703,0.6402490690589032,0.6753441802252815,0.6568989460093071,2523.5,1517.5,1297.0,2698.0
ann_lstm,15,0.6380662020905923,0.6236090907354067,0.690738423028786,0.6539900277184103,2368.0,1673.0,1235.5,2759.5
snn_conv,15,0.649375,0.638088136261241,0.6744127304874968,0.6553151981754226,2525.0,1516.0,1289.0,2670.0
snn_lmu,15,0.5718125000000001,0.5653559430098826,0.5978782520838595,0.5802609247337938,2207.5,1833.5,1592.0,2367.0
